date,t,co
2010-05-16,292.4743,1.0235613e-06
2010-05-17,292.28723,5.70969e-07
2010-05-18,292.69525,3.090821e-07
2010-05-19,292.3123,3.628038e-07
2010-05-20,289.58813,2.190132e-07
2010-05-21,289.94904,4.5124054e-07
2010-05-22,291.01266,3.0862472e-07
2010-05-23,291.78113,3.4958884e-07
2010-05-24,291.87888,5.841737e-07
2010-05-25,293.49625,6.1306366e-07
2010-05-26,292.6219,7.476121e-07
2010-05-27,290.15952,1.585071e-07
2010-05-28,290.25293,1.9059462e-07
2010-05-29,290.77048,4.1567992e-07
2010-05-30,293.53525,6.084532e-07
2010-05-31,291.32465,2.000998e-07
2010-06-01,288.0167,1.07357984e-07
2010-06-02,288.77835,1.2177591e-07
2010-06-03,289.6972,2.0436075e-07
2010-06-04,290.70465,2.1354174e-07
2010-06-05,291.23132,3.1402544e-07
2010-06-06,288.46002,3.7459097e-07
2010-06-07,287.42737,8.81691e-07
2010-06-08,287.3968,8.5534685e-07
2010-06-09,288.48862,2.4497444e-07
2010-06-10,288.9784,3.1711443e-07
2010-06-11,288.06665,2.371008e-07
2010-06-12,286.9646,1.2100485e-07
2010-06-13,287.27267,1.75061e-07
2010-06-14,288.04016,3.4962903e-07
2010-06-15,289.2276,7.8232785e-07
2010-06-16,290.76764,1.1525477e-06
2010-06-17,291.78763,4.957508e-07
2010-06-18,292.26245,9.571831e-07
2010-06-19,292.5205,7.3156775e-07
2010-06-20,293.44446,3.9352565e-07
2010-06-21,291.8674,1.3764269e-06
2010-06-22,289.12585,7.9328044e-07
2010-06-23,288.63947,1.8266502e-07
2010-06-24,290.9141,3.7852902e-07
2010-06-25,292.78043,8.2586433e-07
2010-06-26,291.95096,8.40902e-07
2010-06-27,290.5921,3.3656443e-07
2010-06-28,291.30588,1.1250635e-06
2010-06-29,290.2377,6.065341e-07
2010-06-30,290.35175,3.6846905e-07
2010-07-01,290.1131,7.4327664e-07
2010-07-02,290.0535,3.8602025e-07
2010-07-03,290.61957,4.115957e-07
2010-07-04,290.03488,3.8716934e-07
2010-07-05,291.08804,3.3547744e-07
2010-07-06,291.81274,7.020408e-07
2010-07-07,292.1115,8.659798e-07
2010-07-08,292.10455,1.0352343e-06
2010-07-09,291.14407,8.0625824e-07
2010-07-10,290.5892,3.9002936e-07
2010-07-11,291.32187,2.7708037e-07
2010-07-12,293.2393,6.1156715e-07
2010-07-13,293.68088,2.4562976e-07
2010-07-14,287.87012,2.0759046e-07
2010-07-15,287.7327,1.6266694e-07
2010-07-16,288.1656,1.7487835e-07
2010-07-17,289.6048,1.4414972e-07
2010-07-18,290.705,1.7587796e-07
2010-07-19,291.33594,2.1839084e-07
2010-07-20,292.50873,6.301946e-07
2010-07-21,291.99652,6.6355403e-07
2010-07-22,293.7912,4.3715855e-07
2010-07-23,292.6285,7.2006264e-07
2010-07-24,291.13608,2.3257091e-07
2010-07-25,291.15002,2.7042302e-07
2010-07-26,291.8274,8.276633e-07
2010-07-27,289.6681,2.9166142e-07
2010-07-28,290.36322,1.820265e-07
2010-07-29,291.9015,5.852338e-07
2010-07-30,292.81525,5.1410166e-07
2010-07-31,292.7187,6.451367e-07
2010-08-01,292.25525,6.333123e-07
2010-08-02,289.07144,2.3566386e-07
2010-08-03,287.81256,2.2053749e-07
2010-08-04,286.59805,1.5510278e-07
2010-08-05,287.5497,1.4778756e-07
2010-08-06,286.81766,1.3590433e-07
2010-08-07,287.56042,3.063218e-07
2010-08-08,289.90704,1.525337e-06
2010-08-09,290.30646,8.614621e-07
2010-08-10,288.57858,1.5608987e-07
2010-08-11,289.27817,1.6199677e-07
2010-08-12,290.48514,3.1410798e-07
2010-08-13,293.58682,5.5471196e-07
2010-08-14,288.87564,2.9866635e-07
2010-08-15,285.11105,1.2107351e-07
2010-08-16,285.50806,1.1528992e-07
2010-08-17,286.4257,1.5987958e-07
2010-08-18,287.7959,2.0766161e-07
2010-08-19,289.1289,3.9778118e-07
2010-08-20,291.37665,1.0810145e-06
2010-08-21,289.8258,8.0819217e-07
2010-08-22,291.14795,9.940361e-07
2010-08-23,293.34247,8.8119293e-07
2010-08-24,294.88284,1.56795e-06
2010-08-25,295.72595,1.2822572e-06
2010-08-26,295.02957,1.4843959e-06
2010-08-27,295.7879,1.0427412e-06
2010-08-28,292.6775,6.769285e-07
2010-08-29,293.4099,8.900128e-07
2010-08-30,291.89862,7.277102e-07
2010-08-31,293.05392,2.523466e-07
2010-09-01,294.89075,4.2479002e-07
2010-09-02,295.36206,9.228728e-07
2010-09-03,295.08252,8.79607e-07
2010-09-04,296.45142,1.0625187e-06
2010-09-05,292.955,4.9625606e-07
2010-09-06,288.87454,1.329513e-07
2010-09-07,289.43127,2.0827613e-07
2010-09-08,289.50507,2.389064e-07
2010-09-09,289.64337,1.6775957e-07
2010-09-10,290.287,1.60506e-07
2010-09-11,292.21716,2.3985842e-07
2010-09-12,294.10254,6.6863737e-07
2010-09-13,294.8516,5.360069e-07
2010-09-14,297.02026,4.8168386e-07
2010-09-15,293.72958,6.1082756e-07
2010-09-16,291.13953,1.9828607e-07
2010-09-17,293.1217,3.9083636e-07
2010-09-18,290.21637,2.185233e-07
2010-09-19,288.49924,1.1268298e-07
2010-09-20,290.96796,1.9664854e-07
2010-09-21,292.73938,4.478282e-07
2010-09-22,295.4211,4.6048987e-07
2010-09-23,295.74854,6.166342e-07
2010-09-24,293.4187,6.80496e-07
2010-09-25,291.8099,5.272039e-07
2010-09-26,290.58527,3.4037305e-07
2010-09-27,291.02026,6.9121523e-07
2010-09-28,291.6812,6.536893e-07
2010-09-29,292.12558,6.7992806e-07
2010-09-30,292.998,7.058196e-07
2010-10-01,292.42804,6.2457804e-07
2010-10-02,292.88345,5.796156e-07
2010-10-03,288.63965,1.5733289e-07
2010-10-04,289.21533,1.8038935e-07
2010-10-05,291.44553,4.5504956e-07
2010-10-06,292.17395,2.3148436e-07
2010-10-07,294.18982,4.5033073e-07
