date,t,co
2010-06-04,285.80707,1.6139936e-07
2010-06-05,288.74847,1.8564978e-07
2010-06-06,290.46448,1.8591956e-07
2010-06-07,288.2859,1.4319465e-07
2010-06-08,289.1418,1.9098665e-07
2010-06-09,291.7372,1.844567e-07
2010-06-10,293.5794,1.6674338e-07
2010-06-11,292.21167,1.7133196e-07
2010-06-12,290.46503,1.6566129e-07
2010-06-13,286.6955,1.4196985e-07
2010-06-14,286.43243,1.4391651e-07
2010-06-15,286.24048,1.601439e-07
2010-06-16,285.13605,1.3074595e-07
2010-06-17,285.5693,1.3942557e-07
2010-06-18,283.63867,1.4691007e-07
2010-06-19,281.44366,1.3503877e-07
2010-06-20,279.31833,1.1868842e-07
2010-06-21,280.60245,1.2228757e-07
2010-06-22,282.64752,1.2137885e-07
2010-06-23,285.33865,1.3085803e-07
2010-06-24,286.67535,1.6222553e-07
2010-06-25,288.116,1.6308086e-07
2010-06-26,289.70267,1.7882155e-07
2010-06-27,290.6932,1.6250546e-07
2010-06-28,291.2262,1.5684363e-07
2010-06-29,292.18353,1.6875866e-07
2010-06-30,291.46875,1.7240734e-07
2010-07-01,292.17957,1.9392674e-07
2010-07-02,293.24155,1.7759575e-07
2010-07-03,294.33066,1.7761947e-07
2010-07-04,291.7574,1.8064918e-07
2010-07-05,290.0046,1.6671098e-07
2010-07-06,288.78442,1.2578019e-07
2010-07-07,288.52316,1.2916668e-07
2010-07-08,290.8938,1.413104e-07
2010-07-09,294.06012,1.6681724e-07
2010-07-10,295.4994,1.6929337e-07
2010-07-11,294.03464,1.6625809e-07
2010-07-12,294.02402,1.4730331e-07
2010-07-13,292.76694,1.4469165e-07
2010-07-14,295.33813,1.8523838e-07
2010-07-15,291.89627,1.2437556e-07
2010-07-16,294.21362,1.722882e-07
2010-07-17,290.93936,1.5085992e-07
2010-07-18,287.16992,1.12757675e-07
2010-07-19,288.89435,1.2368905e-07
2010-07-20,290.93002,1.4438781e-07
2010-07-21,293.48853,1.6964646e-07
2010-07-22,292.34445,1.77553e-07
2010-07-23,288.27966,1.339283e-07
2010-07-24,283.29825,1.2202166e-07
2010-07-25,284.843,1.18099756e-07
2010-07-26,285.17157,1.3565732e-07
2010-07-27,284.945,1.3055258e-07
2010-07-28,286.6646,1.281543e-07
2010-07-29,285.5463,1.14236315e-07
2010-07-30,283.71356,1.1649148e-07
2010-07-31,286.729,1.3653334e-07
2010-08-01,290.53265,1.4829303e-07
2010-08-02,288.8612,1.357981e-07
2010-08-03,286.74857,1.29126e-07
2010-08-04,286.8466,1.4761935e-07
2010-08-05,284.81122,1.5972239e-07
2010-08-06,282.5772,1.1589211e-07
2010-08-07,285.5148,1.2145746e-07
2010-08-08,286.53256,1.4526297e-07
2010-08-09,287.34866,1.2616387e-07
2010-08-10,289.44162,1.7482802e-07
2010-08-11,289.3958,1.8116877e-07
2010-08-12,287.2864,1.5740459e-07
2010-08-13,285.53415,1.5008105e-07
2010-08-14,286.80096,1.7357199e-07
2010-08-15,287.0658,1.4906114e-07
2010-08-16,284.57388,1.3092846e-07
2010-08-17,284.87848,1.2115291e-07
2010-08-18,286.25516,1.3847153e-07
2010-08-19,288.04242,1.3685589e-07
2010-08-20,289.99078,1.9125162e-07
