date,concentration,t,co
2010-01-01,537.7875,271.35247999999996,3.9286013e-07
2010-01-02,558.8874999999998,268.62592,2.2892854e-07
2010-01-03,355.49166666666673,265.65283,1.9108986999999998e-07
2010-01-04,706.8333333333335,264.71722,2.5356376999999997e-07
2010-01-05,1541.8875,264.26242,3.6267474e-07
2010-01-06,2750.875,265.67316,3.7504233e-07
2010-01-07,1820.916666666667,267.8647,3.2841638e-07
2010-01-08,1803.208333333333,267.20682,3.4178603000000004e-07
2010-01-09,1776.25,266.423,3.6637104000000003e-07
2010-01-10,1890.083333333333,266.078,3.9749221999999995e-07
2010-01-11,2227.25,266.34692,3.5687890000000004e-07
2010-01-12,2027.833333333333,267.268,4.819371999999999e-07
2010-01-13,561.9416666666667,266.09753,5.081217999999999e-07
2010-01-14,793.3429166666666,269.25507000000005,4.2568455999999996e-07
2010-01-15,888.0,267.29486,4.952549400000001e-07
2010-01-16,540.0875,267.06842,4.9540205e-07
2010-01-17,354.50833333333327,271.63315,2.4687070000000004e-07
2010-01-18,386.6208333333333,270.5124,2.3939018e-07
2010-01-19,876.5333333333333,269.05908,3.4240963e-07
2010-01-20,1272.5666666666666,267.20833999999996,3.6566796999999996e-07
2010-01-21,1152.6291666666666,267.92578,3.4772159999999997e-07
2010-01-22,733.0041666666667,269.23413,3.1326095000000005e-07
2010-01-23,1027.9583333333333,266.95892000000003,3.259156e-07
2010-01-24,777.2916666666665,266.31076,3.7446688e-07
2010-01-25,1760.708333333333,267.6628,4.329894e-07
2010-01-26,2176.1666666666665,266.56552,3.8130398e-07
2010-01-27,2191.708333333333,262.65207000000004,3.4132634e-07
2010-01-28,734.025,266.65314,2.4980363e-07
2010-01-29,331.5995833333334,268.3971,1.9882695000000001e-07
2010-01-30,467.9575,267.903,1.8248065e-07
2010-01-31,933.2958333333332,264.03287,2.0512874e-07
2010-02-01,720.4749999999998,263.3955,2.1896234e-07
2010-02-02,414.8250000000001,266.7327,1.7192717e-07
2010-02-03,183.995,270.3299,1.7754387999999998e-07
2010-02-04,311.64999999999986,271.44357,2.61748e-07
2010-02-05,444.9508333333334,270.93192,3.3380734999999997e-07
2010-02-06,347.2000000000001,272.05136,2.4790072e-07
2010-02-07,1070.1416666666667,270.78643999999997,3.0608453e-07
2010-02-08,1059.6791666666668,267.10323999999997,2.7759282e-07
2010-02-09,892.7249999999998,265.5645,3.0924758e-07
2010-02-10,1685.325,264.58633,3.1890596e-07
2010-02-11,2845.708333333333,262.76227,2.9357938e-07
2010-02-12,2904.541666666666,262.79315,3.6177425e-07
2010-02-13,2172.0416666666665,261.59192,3.8230348e-07
2010-02-14,1505.041666666667,262.55962999999997,4.1405572999999996e-07
2010-02-15,1322.5833333333333,262.7985,3.8463912e-07
2010-02-16,1006.1666666666665,263.85474,3.6392134000000004e-07
2010-02-17,1057.2416666666666,268.51096,3.9515723e-07
2010-02-18,548.1291666666667,272.69427,3.2527856e-07
2010-02-19,889.6624999999998,271.98215,3.5152920000000003e-07
2010-02-20,1100.525,270.16614,2.1568428e-07
2010-02-21,381.2583333333334,269.05658,2.1435099999999998e-07
2010-02-22,363.35416666666674,271.94327000000004,2.3280022e-07
2010-02-23,276.1375,274.55884,2.154665e-07
2010-02-24,433.5791666666667,274.76065,2.3328444000000002e-07
2010-02-25,347.8125,275.47934,2.0255210000000002e-07
2010-02-26,283.23833333333334,275.30147999999997,2.2139426999999998e-07
