date,concentration,t,co
2008-02-10,940.2642857142861,292.3877,1.2779441e-07
2008-02-11,1225.918965517241,291.92657,1.5467386999999998e-07
2008-02-12,728.3543648648645,293.67783,1.9347328e-07
2008-02-13,1209.2831386861312,293.5152,2.9448327000000003e-07
2008-02-14,1119.9595620437954,293.28238,1.9124686999999997e-07
2008-02-15,2127.755661764708,295.49703999999997,3.3456837000000003e-07
2008-02-16,2522.410218978102,295.9296,2.2509776000000002e-07
2008-02-17,1977.461643835616,295.86237,2.0016593e-07
2008-02-18,3740.730714285715,296.36742999999996,4.3856743999999997e-07
2008-02-19,2978.5034782608705,297.0799,3.5032178000000003e-07
2008-02-20,1447.5277611940296,296.38007000000005,1.7406396e-07
2008-02-21,3011.8789062499995,295.97925,2.2179617e-07
2008-02-22,1671.0097435897437,296.16116,3.2650928e-07
2008-02-23,1788.7116788321164,295.325,2.6397396e-07
2008-02-24,1384.933138686132,295.63443,2.8200793000000003e-07
2008-02-25,1329.7191240875914,295.71854,1.9349632e-07
2008-02-26,1560.955182481752,295.0693,1.8215395e-07
2008-02-27,1253.1672262773718,295.0942,3.2446627e-07
2008-02-28,1614.2097591240874,295.97797,3.425414e-07
2008-02-29,1643.891428571429,295.38962000000004,2.5529843e-07
2008-03-01,1130.8819852941174,294.17285,2.6556327e-07
2008-03-02,1707.7358394160578,295.9004,4.7503983000000007e-07
2008-03-03,1394.6638686131396,295.78542999999996,2.7147099999999996e-07
2008-03-04,1411.6038636363644,295.79126,2.6654935999999997e-07
2008-03-05,1171.8948965517234,294.48276,3.610363e-07
2008-03-06,1462.4717518248178,294.24408,2.0492655e-07
2008-03-07,1080.8654545454551,294.17212,2.929788e-07
2008-03-08,2120.1735766423362,293.99712999999997,2.8117940000000003e-07
2008-03-09,1679.4737956204376,294.03,3.6724492e-07
2008-03-10,1890.036496350365,295.59943,4.5887159999999996e-07
2008-03-11,1168.6076190476194,295.67865,3.4643215999999996e-07
2008-03-12,1130.906370370371,295.36914,3.3296909999999996e-07
2008-03-13,1634.3768148148151,293.89142000000004,2.870427e-07
2008-03-14,701.8343442622947,291.48897999999997,2.0263720000000003e-07
2008-03-15,946.6450364963504,291.47162000000003,2.6141305e-07
2008-03-16,381.8726277372264,287.24627999999996,1.849694e-07
2008-03-17,429.7136206896551,284.57202,1.4313584e-07
2008-03-18,619.0435172413796,287.11133,1.8647218e-07
2008-03-27,1605.044736842105,291.95264,5.2215444e-07
2008-03-28,1544.1959055118111,292.07816,5.857882599999999e-07
2008-03-29,1765.3326277372269,292.97885,9.123661e-07
2008-03-30,990.7255474452554,291.14474,4.4731980000000003e-07
2008-03-31,1370.0424087591246,291.45587,7.3376583e-07
2008-04-01,1656.8697674418609,290.1455,5.425551e-07
2008-04-02,1586.758029197081,290.06763,7.798758000000001e-07
2008-04-03,1819.0418604651159,289.61105,3.533952e-07
2008-04-04,1790.8108759124084,291.12625,4.864576e-07
2008-04-05,1809.694615384616,291.99773999999996,5.6533156e-07
2008-04-06,1770.214275362319,291.86352999999997,5.546873499999999e-07
2008-04-07,1137.8845985401465,291.06946,7.5009154e-07
2008-04-08,1152.4981746031744,290.30917,8.153853599999999e-07
2008-04-09,891.6739455782312,289.69707999999997,3.9365963000000003e-07
2008-04-10,1391.5495275590545,289.74384,5.855637e-07
2008-04-11,1384.7049655172416,290.0539,8.218634e-07
2008-04-12,1202.104140625,289.7997,8.8261453e-07
2008-04-13,805.5886029411762,289.25677,5.4213615e-07
2008-04-14,1555.2086861313865,288.87006,8.0108117e-07
2008-04-15,1592.430078125,288.92896,6.561847399999999e-07
2008-04-16,1060.284160583942,289.8729,6.842634e-07
2008-04-17,964.2600840336128,291.12784,1.027819e-06
2008-04-18,1025.6934653465348,291.16037,1.2561105000000001e-06
2008-04-19,2413.276271186441,292.0597,5.372363000000001e-07
2008-04-20,1209.8414565217392,288.29073999999997,4.0839427e-07
2008-04-21,827.9370469798657,284.276,1.4254191e-07
2008-04-22,2179.897777777779,285.5844,8.065438e-07
2008-04-23,3201.0014598540147,286.0093,1.5629539e-06
2008-04-24,3453.353543307086,287.18866,1.2246375e-06
2008-04-25,3485.123357664234,287.94287,7.911965e-07
2008-04-26,2683.776086956522,289.0992,5.8872274e-07
2008-04-27,2367.603649635036,290.0136,9.238235999999999e-07
2008-04-28,2353.870802919708,290.87357000000003,6.400848e-07
2008-04-29,2112.0732846715327,290.0074,6.688984999999999e-07
2008-04-30,2109.0502739726026,289.64874,4.6259964000000004e-07
2008-05-01,1376.8081751824814,290.5305,6.565448999999999e-07
2008-05-02,915.034255319149,287.09862999999996,2.4674324e-07
2008-05-03,652.477299270073,285.84802,1.5604763e-07
2008-05-04,767.2838686131386,286.61832000000004,2.2660207e-07
2008-05-05,1223.371369863014,286.5344,5.1896484e-07
2008-05-06,974.2132450331133,287.55078,1.7456581e-06
2008-05-07,1463.356564417178,288.26785,1.0937321000000002e-06
2008-05-08,2939.458591549296,288.23306,1.7733122e-06
2008-05-09,3397.623456790122,289.05194,1.7748787e-06
2008-05-10,3075.195679012347,290.36823,8.001850999999999e-07
2008-05-11,1520.7928658536587,291.21332,5.815695699999999e-07
2008-05-12,910.594981595092,287.94876,6.6347127e-07
2008-05-13,1053.417416149068,288.70782,6.3979735e-07
2008-05-14,1626.8095705521466,288.841,1.3079123000000002e-06
2008-05-15,2381.8730061349684,289.0573,1.5069062e-06
2008-05-16,3204.409202453988,289.85247999999996,1.3451682e-06
2008-05-17,3409.816564417178,289.76477,1.7328884e-06
2008-05-18,1495.8658124999995,288.74658,4.3711929999999993e-07
2008-05-19,1595.7799390243897,288.30922999999996,7.537444999999999e-07
2008-05-20,1906.6456410256421,286.6198,6.289798e-07
2008-05-21,1640.4414110429452,286.11615,9.0415375e-07
2008-05-22,2568.5627607361976,286.8349,1.4044711999999998e-06
2008-05-23,3342.519631901841,286.10553,1.6296266e-06
2008-05-24,2159.141280487805,285.73776000000004,6.187484e-07
2008-05-25,1053.392608695653,284.80286,4.4215273e-07
2008-05-26,1700.4720121951218,285.89996,3.8164423999999994e-07
2008-05-27,1671.926134969325,286.39563,5.267468e-07
2008-05-28,1638.8101226993865,286.88599999999997,1.1354765e-06
2008-05-29,2584.111042944785,287.1209,1.7968128999999999e-06
2008-05-30,3395.944171779141,287.12726000000004,1.1742823e-06
2008-05-31,2908.426871165645,287.78015,7.3569436e-07
2008-06-01,1705.0095705521476,287.8375,1.2657038e-06
2008-06-02,2232.4015950920257,288.12146,6.692859500000001e-07
2008-06-03,2236.407975460124,287.24576,4.1302235e-07
2008-06-04,1341.659079754602,284.81296000000003,4.9554296e-07
2008-06-05,1303.413595092024,282.60413,7.820555e-07
2008-06-06,2494.597484662577,283.57462000000004,1.5415263999999998e-06
2008-06-07,2347.914969325153,284.41217,1.5079520999999999e-06
2008-06-08,2378.286564417177,285.22017999999997,2.1317446000000003e-06
2008-06-09,2520.631901840493,284.49365,5.3570636e-07
2008-06-10,1920.4328220858893,283.1631,4.0133398e-07
2008-06-11,2294.721288343558,282.81433,6.482096e-07
2008-06-12,1962.537672955976,284.6493,9.990835e-07
2008-06-13,3999.638364779875,285.36053,1.911551e-06
2008-06-14,4704.686503067484,284.96906,2.4995747000000003e-06
2008-06-15,5399.69754601227,285.13715,2.4804256e-06
2008-06-16,3611.2987730061354,283.77246,2.6328955e-06
2008-06-17,1859.8619631901847,284.35393999999997,7.204164e-07
2008-06-18,1422.1992073170734,285.95905,3.5611043e-07
2008-06-19,2015.6503067484664,285.02823,3.242876e-07
2008-06-20,2286.4322085889576,285.8129,4.696136e-07
2008-06-21,2561.8861349693234,285.95673,6.880058000000001e-07
2008-06-22,2111.167607361964,285.29263,1.7576373000000001e-06
2008-06-23,2824.3557668711637,284.78552,1.7145022e-06
2008-06-24,3259.0615950920237,283.41522000000003,2.0501454e-06
2008-06-25,4438.087116564416,283.69424,2.0467737e-06
2008-06-26,4761.382822085891,283.97726,2.0071634e-06
2008-06-27,3701.444585987261,283.65765,2.1138876e-06
2008-06-28,2627.0699386503065,283.64108,2.171155e-06
2008-06-29,2772.344294478526,283.78018,2.4398998e-06
2008-06-30,3468.819018404907,283.37967000000003,2.2241582000000002e-06
2008-07-01,2898.7460122699376,284.29514,1.2350338e-06
2008-07-02,2831.7748466257676,285.38495,7.877596300000001e-07
2008-07-03,3306.519018404908,285.78564,1.2785656e-06
2008-07-04,3341.0754601226995,286.9265,7.784102e-07
2008-07-05,1063.5795092024541,283.21686,4.419384e-07
2008-07-06,889.5104146341463,281.83333999999996,4.7020835999999995e-07
2008-07-07,1736.9368571428574,282.55658,2.1202375e-06
2008-07-09,1493.3228205128207,286.62282999999996,5.2401197e-07
2008-07-10,1380.3920858895706,280.63046,5.020458499999999e-07
2008-07-11,3500.506748466258,281.64617999999996,1.3459672000000001e-06
2008-07-12,2228.3006134969337,283.39145,5.2134567e-07
2008-07-13,2822.971165644173,284.19678,1.0961193999999998e-06
2008-07-14,2760.9905521472388,284.12487999999996,1.1278338e-06
2008-07-15,2956.9898765432104,283.91675,1.2993632e-06
2008-07-16,2835.296319018405,285.48856,1.272969e-06
2008-07-17,4471.242763157895,285.06403,1.5167972e-06
2008-07-18,3181.265337423314,284.546,8.694048599999999e-07
2008-07-19,4442.5490797546,284.02783,2.3338714e-06
2008-07-20,3782.907975460124,284.6044,2.1748769999999997e-06
2008-07-21,4262.260122699389,285.4073,1.9180563e-06
2008-07-22,4564.739263803679,285.04456,2.023114e-06
2008-07-23,3450.3901840490803,284.88662999999997,1.5734421e-06
2008-07-24,2246.446687116564,284.63312,1.0464524e-06
2008-07-25,4082.5195121951215,284.6669,1.7723900000000001e-06
2008-07-26,4428.369938650305,284.4202,2.357862e-06
2008-07-27,2592.5184049079753,285.54086,1.0284965e-06
2008-07-28,1162.7463803680992,285.09906,1.1607729999999999e-06
2008-07-29,2954.8732919254658,284.53717,2.3498826e-06
2008-07-30,4113.350306748465,286.68912,9.168867299999999e-07
2008-07-31,3349.723926380368,287.05927,1.1862521e-06
2008-08-01,4097.904878048781,288.51572000000004,1.1349315e-06
2008-08-02,4102.8944785276035,287.06052,2.71983e-06
2008-08-03,2974.5460122699383,286.97308,2.3694933999999997e-06
2008-08-04,1946.1667484662585,286.00497,5.821263e-07
2008-08-05,2651.1880368098164,286.40817000000004,1.0954470000000002e-06
2008-08-06,2860.401840490797,287.2104,2.0222906e-06
2008-08-07,2745.707926829269,287.64624,1.8852442e-06
2008-08-08,2778.891025641026,287.55707,1.933692e-06
2008-08-09,1654.7481595092022,287.4052,1.8944143e-06
2008-08-10,3743.9030061349695,285.9969,1.1256016000000002e-06
2008-08-11,2344.76319018405,285.80676,8.855855600000001e-07
2008-08-12,2795.118711656441,285.96375,1.0227341e-06
2008-08-13,2626.264417177913,286.99017000000003,6.7765563e-07
2008-08-14,2367.4975460122705,288.53265,1.0328971e-06
2008-08-15,3073.84417177914,289.0805,1.7332776999999998e-06
2008-08-16,2057.0628658536602,288.90854,6.653121400000001e-07
2008-08-17,1946.6982208588934,286.7384,5.805952e-07
2008-08-18,1045.724110429448,285.9285,2.1877285e-07
2008-08-19,1657.0879141104294,286.4828,2.6511475e-07
2008-08-20,2218.6859154929584,289.5119,9.4224913e-07
2008-08-21,2226.782926829268,290.71152,6.187971999999999e-07
2008-08-22,2773.62699386503,291.82422,8.748990000000001e-07
2008-08-23,2993.2509202454,292.64197,1.1243933e-06
2008-08-24,2146.0155828220863,291.25366,5.5055e-07
2008-08-25,2522.137607361963,292.08263999999997,7.173845e-07
2008-08-26,1350.1250306748461,290.582,7.642109999999999e-07
2008-08-27,3260.947975460122,290.2861,2.410617e-06
2008-08-28,2439.07975609756,292.11237,4.3139633000000004e-07
2008-08-29,1783.7315950920251,290.87045,7.002944000000001e-07
2008-08-30,2269.186503067485,291.82403999999997,8.793812e-07
2008-08-31,1251.0589754601226,288.12485,5.1554065e-07
2008-09-01,2043.0905460122706,285.50872999999996,3.1857957e-07
2008-09-02,4370.2116564417165,287.69174,1.1212953e-06
2008-09-03,2439.138853503185,290.8243,7.935149e-07
2008-09-04,3359.955214723927,290.28,9.967296e-07
2008-09-05,2220.0239263803696,292.50793,7.3500837e-07
2008-09-06,3347.388466257666,291.3906,1.2962623e-06
2008-09-07,2150.5952760736195,292.02402,3.7515514000000003e-07
2008-09-08,1820.691411042944,295.597,1.1616421e-06
2008-09-09,2665.3134146341463,296.87653,1.2697087e-06
2008-09-10,1188.2222699386493,294.73413,8.500341999999999e-07
2008-09-11,1072.1755828220855,291.58896,3.2278762999999997e-07
2008-09-12,954.6124539877296,288.29117,2.6236694e-07
2008-09-13,820.6673006134965,287.63953,1.7249680999999999e-07
2008-09-14,1021.6664417177916,289.14642000000003,2.3508832000000002e-07
2008-09-15,1388.4764417177912,292.09033,3.7726343e-07
2008-09-16,1085.4662576687117,293.93958,7.018366500000001e-07
2008-09-17,2478.7364102564097,292.68076,7.800688300000001e-07
2008-09-18,1905.400632911392,290.94678,2.9201945e-07
2008-09-19,1311.3417177914114,293.81777999999997,3.943538e-07
2008-09-20,786.6189726027403,290.3132,4.1232892e-07
2008-09-21,733.7121472392639,285.58698,2.1374821e-07
2008-09-22,1375.1542236024845,288.7071,5.2072625e-07
2008-09-23,1466.675214723926,293.31818,4.4904771999999995e-07
2008-09-24,748.7614765100668,291.83057,3.3249637e-07
2008-09-25,2979.8704729729725,292.21155,1.3711586e-06
2008-09-26,1830.9080864197533,294.82385,1.0216448000000002e-06
2008-09-27,2003.6275828220869,292.06396,3.0525967999999997e-07
2008-09-28,1087.8274233128834,289.22458,3.4502526e-07
2008-09-29,1340.830981595092,291.177,2.3242957e-07
2008-09-30,1931.2343558282212,295.79095,3.8833996999999994e-07
2008-10-01,1833.4971165644165,297.099,8.752163e-07
2008-10-02,2185.515853658537,297.0986,7.7321386e-07
2008-10-03,2318.944539877301,296.54312000000004,7.0220403e-07
2008-10-04,2140.886375000001,293.69852000000003,3.6653216e-07
2008-10-05,1613.2335582822077,294.38083,5.264136600000001e-07
2008-10-06,709.9803105590066,291.9549,2.1869667e-07
2008-10-07,1336.5661963190182,291.3397,2.3759899999999998e-07
2008-10-08,1749.1934969325152,294.75705,3.6118917e-07
2008-10-09,851.1009876543214,292.84665,6.642864e-07
2008-10-10,2499.825512820513,293.95282000000003,3.487829e-07
2008-10-11,3023.1883435582818,293.49084,3.2156353e-07
2008-10-12,3377.3233128834345,295.3379,4.3594787e-07
2008-10-13,2717.150306748466,297.88696,5.128074e-07
2008-10-14,2786.5073619631908,299.07996,5.7390275e-07
2008-10-15,1935.159512195121,297.1744,2.5265143e-07
2008-10-16,1396.0542331288345,296.13174,2.0392570000000002e-07
2008-10-17,1238.2344871794874,296.5818,2.935572e-07
2008-10-18,1201.307718120805,294.34897,3.411141e-07
2008-10-19,1142.9954430379746,294.52367999999996,3.8914945000000003e-07
2008-10-20,1374.608827160493,294.9931,3.7121728000000004e-07
2008-10-21,1613.4219631901838,295.86157000000003,5.466181999999999e-07
2008-10-22,1760.2495031055896,298.0859,3.9256329999999997e-07
2008-10-23,1044.9281118881113,293.80975,3.3041118e-07
2008-10-24,880.5655828220857,292.17865,1.7173599e-07
2008-10-25,1163.988832116788,293.1793,3.7885718e-07
2008-10-26,558.5303030303028,291.639,1.7486520000000004e-07
2008-10-30,1454.015581395349,296.28397,3.3433807e-07
2008-10-31,1147.5026993865033,298.05334,5.9289346e-07
2008-11-01,884.1839634146339,297.9356,2.7916158000000003e-07
2008-11-02,1086.1002068965518,299.39658,3.5409855e-07
2008-11-03,1085.8790797546012,298.69885,3.857221e-07
2008-11-04,1555.1313821138215,296.61514,2.9225856e-07
2008-11-05,1063.9521259842522,294.3186,2.481346e-07
2008-11-06,1672.4380246913581,296.83078,3.7168851000000006e-07
2008-11-07,1235.5374796747972,294.98892,3.2962345e-07
2008-11-08,1190.1847239263807,292.32523,4.1727952e-07
2008-11-09,423.09018404907965,289.61188,1.6426082999999998e-07
2008-11-10,797.9085889570555,290.9361,1.91283e-07
2008-11-11,1624.6443949044585,291.5293,3.7201767e-07
2008-11-12,926.022392638037,292.88333,3.3197870000000003e-07
2008-11-13,578.962361111111,292.607,3.0420915e-07
2008-11-14,936.9083116883118,293.83173,5.0457174e-07
2008-11-15,1100.8157668711658,294.4298,5.5537544e-07
2008-11-16,911.5054225352112,295.93023999999997,4.5407393e-07
2008-11-17,1196.2465624999998,294.3924,2.2503218e-07
2008-11-18,825.8344785276073,293.2608,3.1287909999999994e-07
2008-11-19,680.3823926380369,291.3212,1.6277244e-07
2008-11-20,1048.0740490797546,291.52022999999997,2.1637621e-07
2008-11-21,1172.027073170732,291.52783,2.4593663e-07
2008-11-22,1050.2187116564417,292.6081,2.2427639000000003e-07
2008-11-23,1232.036380368098,294.96972999999997,4.6680705e-07
2008-11-24,1886.7010429447855,297.27402,3.5637287999999997e-07
2008-11-25,2045.9349206349207,297.55765,3.7717663e-07
2008-11-26,1870.7306134969322,297.06702,3.4219838000000003e-07
2008-11-27,1549.1672483221473,296.25952,2.8260396e-07
2008-11-28,1896.8217177914123,297.0061,3.4765574e-07
2008-11-29,1236.3678527607362,298.05795,2.2741534e-07
2008-11-30,1135.284090909091,297.80362,3.2241743e-07
2008-12-01,1782.2568965517237,296.22784,2.3036085e-07
2008-12-02,1724.7729447852764,296.55237,2.0503979999999998e-07
2008-12-03,1569.9552439024383,296.16033999999996,2.2160239999999997e-07
2008-12-04,1222.2099386503066,295.79037,1.8981274e-07
2008-12-05,812.7800000000003,295.55438,2.1969194000000003e-07
2008-12-06,1237.2330674846626,295.784,2.9578908000000003e-07
2008-12-07,1066.5211042944784,294.9172,2.0554398000000004e-07
2008-12-08,3114.0657516339857,295.77094,3.3985073999999995e-07
2008-12-09,3004.159509202453,297.52216,3.0970616999999996e-07
2008-12-10,1843.808414634147,298.0307,2.9172309999999994e-07
2008-12-11,1454.5318404907973,298.0987,2.6490937e-07
2008-12-12,2112.123312883437,297.35703,3.8655122e-07
2008-12-13,911.9114723926376,294.8476,1.5433105e-07
2008-12-14,691.6060736196314,296.3866,1.7488598e-07
2008-12-15,1252.3005228758173,294.17843999999997,2.1083764000000002e-07
2008-12-16,843.9380981595089,292.5571,1.3378063e-07
2008-12-17,1453.9190184049082,294.4877,1.6457267000000002e-07
2008-12-18,870.9827607361965,295.30267000000003,1.4174017e-07
2008-12-19,1153.7649079754601,296.12354,1.5299891e-07
2008-12-20,2570.8153374233125,298.26166,2.3057314000000001e-07
2008-12-21,1709.1365030674842,299.2611,2.0149484000000002e-07
2008-12-22,1195.294294871795,299.24712999999997,1.3452939e-07
2008-12-23,790.9105555555552,299.60794,1.5225045999999998e-07
2008-12-24,680.230797546012,298.37958,1.6916684e-07
2008-12-25,762.9796319018408,295.02768,2.1472380999999998e-07
2008-12-26,625.1500613496931,293.75162,1.531314e-07
2008-12-27,616.6945731707317,295.33554,1.4193546e-07
2008-12-28,310.5133128834356,293.94806,1.4997794000000002e-07
2008-12-29,405.17858895705496,296.68883999999997,1.8206599e-07
2008-12-30,599.1882638036805,298.59506,1.9781295e-07
2008-12-31,1150.8209146341467,297.84094,2.1881914000000003e-07
2009-01-01,743.9836645962738,295.34607,1.8945076e-07
2009-01-02,512.7603658536586,296.4123,2.6829287e-07
2009-01-03,488.5369325153375,295.55093,1.9105795e-07
2009-01-04,683.0622085889571,297.67075,2.5860143e-07
2009-01-05,698.900714285714,296.22497999999996,2.722066e-07
2009-01-06,1285.2447852760733,296.66643999999997,1.7996026999999998e-07
2009-01-07,1484.253312883436,298.8593,2.1731903e-07
2009-01-08,1318.2204294478533,299.17467999999997,1.7593473e-07
2009-01-09,915.6226219512204,296.12244,1.4969191e-07
2009-01-10,892.4458282208587,293.8222,3.1219477000000004e-07
2009-01-11,616.0246012269943,294.0456,2.2505816e-07
2009-01-12,907.8606134969324,293.40682999999996,2.5050565e-07
2009-01-13,1163.9716666666666,294.5907,3.253213e-07
2009-01-14,1001.0733128834356,295.4868,2.8826804e-07
2009-01-15,1291.2913496932526,294.72586,1.9721926e-07
2009-01-16,949.4269325153376,295.81772,1.7591370000000002e-07
2009-01-17,2098.661963190184,297.0907,2.730256e-07
2009-01-18,1273.276503067485,296.06912,2.7369032e-07
2009-01-19,1332.9554601226994,295.58807,1.3754348e-07
2009-01-20,814.6779617834397,294.86182,1.8336977999999998e-07
2009-01-21,785.9639877300615,294.44135,1.1403367e-07
2009-01-22,812.3496932515338,293.67233,1.597466e-07
2009-01-23,1116.3399999999997,294.64862,2.4696647e-07
2009-01-26,1294.5937735849056,294.78362999999996,1.9833058e-07
2009-01-27,731.4344785276074,294.46643,2.2262947e-07
2009-01-28,877.7789440993788,292.29675,2.2047287e-07
2009-01-29,458.07522580645167,292.12656,1.881794e-07
2009-01-30,381.1849090909092,293.04147,2.2212748e-07
2009-01-31,472.41608695652184,294.18497,3.0681541999999995e-07
2009-02-02,2688.6260869565217,293.97845,2.7886172999999997e-07
2009-02-09,1747.76,294.2011,2.6219929999999995e-07
2009-02-10,1321.957575757576,294.378,4.7239004e-07
2009-02-11,1452.2071794871786,292.65427,3.0311838000000003e-07
2009-02-12,476.141743119266,290.6927,1.1789941000000001e-07
2009-02-13,603.2921472392637,291.92343,1.4357403e-07
2009-02-14,1654.892638036809,293.46657999999996,3.9385844e-07
2009-02-15,1624.1392638036805,294.87854,3.4134805999999997e-07
2009-02-16,1573.6920245398765,296.1197,3.4107939e-07
2009-02-17,1486.8866871165644,295.36298,2.073043e-07
2009-02-18,1101.720555555556,294.1387,1.911938e-07
2009-02-19,1700.5470731707333,295.812,3.3756972999999994e-07
2009-02-20,1320.7188957055216,295.9638,3.1730215000000003e-07
2009-02-21,814.4190184049077,294.9298,2.2360469e-07
2009-02-22,955.9788957055217,294.24585,2.9371084999999996e-07
2009-02-23,807.9189024390248,293.0697,1.3887119e-07
2009-02-24,707.7581410256407,291.55203,1.3811746e-07
2009-02-25,702.1134969325152,292.99777,2.9375428e-07
2009-02-26,1275.5387116564416,293.80225,4.298046e-07
2009-02-27,1650.0315950920246,293.62402000000003,3.9155628e-07
2009-02-28,1258.362298136646,292.47516,2.7684584e-07
2009-03-01,958.8670121951213,292.45763999999997,3.4429697999999993e-07
2009-03-02,969.5344785276072,292.36182,2.0988489999999998e-07
2009-03-03,1333.222576687117,293.10425,3.3965404e-07
2009-03-04,1587.600429447853,293.5927,4.941806e-07
2009-03-05,795.5661963190181,292.52036,1.703985e-07
