date,concentration
2005-01-01,745.7691666666663
2005-01-02,374.9918055555554
2005-01-03,265.29029370629377
2005-01-04,304.68201388888883
2005-01-05,409.387986111111
2005-01-06,496.81555555555525
2005-01-07,321.9352777777779
2005-01-08,349.35944444444436
2005-01-09,145.0043680555556
2005-01-10,529.9317518248176
2005-01-11,471.55638888888893
2005-01-12,621.8405
2005-01-13,380.18909722222213
2005-01-14,288.0597202797204
2005-01-15,686.5749999999999
2005-01-16,509.6586805555558
2005-01-17,1500.204791666666
2005-01-18,2732.628472222221
2005-01-19,2395.578472222222
2005-01-20,1644.455555555554
2005-01-21,1279.4542957746473
2005-01-22,1671.8006944444446
2005-01-23,1210.2134722222224
2005-01-24,888.7235416666672
2005-01-25,1346.6413194444451
2005-01-26,1343.4642361111112
2005-01-27,1143.4277777777781
2005-01-28,1218.1327083333338
2005-01-29,1545.2142361111114
2005-01-30,2009.2958333333336
2005-01-31,856.2916666666666
2005-02-01,1965.0454861111098
2005-02-02,1788.150277777778
2005-02-03,1626.0185416666661
2005-02-04,1082.8953472222217
2005-02-05,1061.4285416666671
2005-02-06,1268.065902777778
2005-02-07,1756.7739583333334
2005-02-08,1567.4304895104906
2005-02-09,2163.218750000001
2005-02-10,2386.003496503497
2005-02-11,719.23875
2005-02-12,402.14826388888895
2005-02-13,764.5827083333332
2005-02-14,1685.3951048951037
2005-02-15,1618.1423611111109
2005-02-16,1816.020138888889
2005-02-17,1693.710416666666
2005-02-18,1622.3607638888902
2005-02-19,1231.9711805555555
2005-02-20,1092.3594444444445
2005-02-21,1515.8769444444438
2005-02-22,1005.9906944444447
2005-02-23,2064.132638888889
2005-02-24,3903.228472222223
2005-02-25,2547.9731468531477
2005-02-26,490.4900694444444
2005-02-27,350.48680555555563
2005-02-28,715.8340972222223
2005-03-01,508.4014583333331
2005-03-02,919.1695138888887
2005-03-03,1448.1762500000002
2005-03-04,3452.882517482517
2005-03-05,3116.4777777777795
2005-03-06,2115.4430555555546
2005-03-07,1232.210208333333
2005-03-08,846.9405555555558
2005-03-09,319.5188888888888
2005-03-10,940.4801388888887
2005-03-11,1348.1348611111107
2005-03-12,494.6425000000002
2005-03-13,1134.8575694444446
2005-03-14,1927.8805555555546
2005-03-15,1785.763958333333
2005-03-16,2693.1138888888886
2005-03-17,1679.8618055555557
2005-03-18,1248.300347222222
2005-03-19,302.75194444444446
2005-03-20,218.29180555555553
2005-03-21,356.6804861111111
2005-03-22,466.07506944444464
2005-03-23,1151.8437762237766
2005-03-24,2670.7951388888887
2005-03-25,405.7172916666666
2005-03-26,624.3139583333336
2005-03-27,1051.8959027777778
