date,concentration
2009-01-01,2946.152173913043
2009-01-02,2861.2125
2009-01-03,2398.6708333333336
2009-01-04,2331.8375
2009-01-05,3353.058333333334
2009-01-06,4968.016666666666
2009-01-07,3487.6416666666664
2009-01-08,2593.8625
2009-01-09,5891.133333333332
2009-01-10,9191.125
2009-01-11,5401.583333333335
2009-01-12,3097.587500000001
2009-01-13,3073.983333333334
2009-01-14,4509.695833333334
2009-01-15,4848.358333333333
2009-01-16,3212.7291666666665
2009-01-17,4137.724999999999
2009-01-18,3259.1791666666654
2009-01-19,1380.0387499999997
2009-01-20,2740.4500000000007
2009-01-21,3527.7791666666667
2009-01-22,2534.8624999999997
2009-01-23,1554.5999999999997
2009-01-24,1874.2879166666664
2009-01-25,3247.0208333333335
2009-01-26,4690.404166666666
2009-01-27,5462.787499999999
2009-01-28,2930.1791666666663
2009-01-29,1639.0104166666667
2009-01-30,1830.6999999999996
2009-01-31,2499.4333333333334
2009-02-01,2353.7291666666665
2009-02-02,2224.3541666666665
2009-02-03,1937.7874999999995
2009-02-04,1701.9791666666663
2009-02-05,1950.4208333333333
2009-02-06,1917.3249999999998
2009-02-07,2013.5791666666667
2009-02-08,2494.4791666666665
2009-02-09,2193.4749999999995
2009-02-10,1898.3162499999999
2009-02-11,994.5212499999999
2009-02-12,1404.9070833333335
2009-02-13,1810.5625
2009-02-14,2367.4333333333334
2009-02-15,1796.4733333333331
2009-02-16,2510.7125
2009-02-17,1936.7375000000002
2009-02-18,1571.8500000000001
2009-02-19,2246.4583333333335
2009-02-20,3424.8000000000006
2009-02-21,2522.366666666667
2009-02-22,1832.3012500000002
2009-02-23,647.2820833333336
2009-02-24,1301.9470833333332
2009-02-25,1683.6950000000004
2009-02-26,2373.7208333333333
2009-02-27,1104.9116666666666
2009-02-28,1680.8033333333333
2009-03-01,2349.2708333333335
2009-03-02,2892.7208333333333
2009-03-03,2879.008333333333
2009-03-04,2188.4041666666662
2009-03-05,2278.48
2009-03-06,1450.5329166666663
2009-03-07,1499.1625000000001
2009-03-08,1917.0249999999999
2009-03-09,1031.1829166666666
2009-03-10,1166.2829166666668
2009-03-11,934.0362499999998
2009-03-12,1230.8245833333333
2009-03-13,936.9491666666668
2009-03-14,1532.445
2009-03-15,1484.5666666666666
2009-03-16,1187.2679166666665
2009-03-17,1836.4725
2009-03-18,688.2841666666667
2009-03-19,873.3583333333332
2009-03-20,1687.9720833333333
2009-03-21,2787.7416666666663
2009-03-22,3235.3333333333326
2009-03-23,1740.6845833333334
2009-03-24,590.4272727272728
2009-03-25,1255.506666666667
2009-03-26,1137.965833333333
2009-03-27,811.495
2009-03-28,1506.3029166666665
2009-03-29,1219.462083333333
2009-03-30,2151.2249999999995
2009-03-31,2549.195833333334
2009-04-01,3482.470833333333
2009-04-02,4303.966666666666
2009-04-03,3666.133333333333
2009-04-04,3990.020833333334
2009-04-05,5374.312500000001
2009-04-06,4086.454166666666
2009-04-07,3556.8625000000015
2009-04-08,2458.9874999999997
2009-04-09,2185.0416666666665
2009-04-10,2998.308333333333
2009-04-11,3506.3249999999994
2009-04-12,3410.0416666666665
2009-04-13,2940.2875
2009-04-14,2827.6958333333337
2009-04-15,2829.975
2009-04-16,2661.604166666667
2009-04-17,1149.0900000000001
2009-04-18,1155.6579166666668
2009-04-19,2197.479166666667
2009-04-20,3115.054166666667
2009-04-21,2740.6791666666663
2009-04-22,3497.5208333333335
2009-04-23,1588.369583333333
2009-04-24,3574.4608695652178
2009-04-25,2631.7041666666664
2009-04-26,2311.4791666666665
2009-04-27,2177.079166666667
2009-04-28,1982.2833333333335
2009-04-29,1895.6333333333332
2009-04-30,1814.3404999999996
2009-05-04,1423.2422222222222
2009-05-05,1563.0850000000003
2009-05-06,1141.9887499999998
2009-05-07,910.3287500000001
2009-05-08,1346.2554166666666
2009-05-09,1657.3083333333336
2009-05-10,1851.8958333333337
2009-05-11,2297.8791666666666
2009-05-12,2065.754166666666
2009-05-13,2039.346666666667
2009-05-14,2274.191666666666
2009-05-15,2304.85
2009-05-16,1801.4279166666672
2009-05-17,1950.5295833333337
2009-05-18,2283.4083333333338
2009-05-19,1804.958333333333
2009-05-20,1870.1916666666666
2009-05-21,2197.4958333333334
2009-05-22,1251.1062499999998
2009-05-23,1637.3708333333332
2009-05-24,2061.195833333333
2009-05-25,2676.4458333333328
2009-05-26,2909.871428571429
2009-05-27,1219.2483333333332
2009-05-28,1651.6062500000005
2009-05-29,824.5108333333334
2009-05-30,1377.2904166666667
2009-05-31,1604.4041666666665
2009-06-01,1201.21125
2009-06-02,1451.7
2009-06-03,1056.9070833333335
2009-06-04,998.1425
2009-06-05,1437.9604166666666
2009-06-06,2136.3235294117644
2009-06-08,685.7900000000001
2009-06-09,1888.1583333333335
2009-06-10,1273.5095833333332
2009-06-11,874.2208333333333
2009-06-12,880.3595833333334
2009-06-13,1284.9975000000002
2009-06-14,1827.8333333333333
2009-07-10,2517.8142857142852
2009-07-14,1409.278888888889
2009-07-15,4049.6
2009-07-16,2194.0222222222224
2009-07-17,2453.7000000000003
2009-07-23,2071.4
2009-07-24,936.5365217391306
2009-07-25,877.8425000000002
2009-07-26,1222.6100000000001
2009-07-27,1777.1208333333336
2009-07-28,1988.1883333333328
2009-07-29,1918.2416666666666
2009-07-30,2187.69375
2009-07-31,1738.0125
2009-08-01,2978.9458333333337
2009-08-02,3168.6750000000006
2009-08-03,1444.2541666666666
2009-08-04,1766.6166666666666
2009-08-05,2387.4479166666665
2009-08-06,2059.308333333334
2009-08-07,2049.5291666666667
