date,concentration
2008-01-01,1305.5712500000002
2008-01-02,1321.645
2008-01-03,2287.175
2008-01-04,3581.316666666666
2008-01-05,2195.4458333333328
2008-01-06,1506.5970833333333
2008-01-07,803.485
2008-01-08,692.2916666666666
2008-01-09,1537.8083333333336
2008-01-10,1318.525
2008-01-11,1338.3237499999998
2008-01-12,1292.1916666666664
2008-01-13,1433.0633333333333
2008-01-14,2085.5291666666667
2008-01-15,1032.7354166666667
2008-01-16,833.7645833333332
2008-01-17,1351.424166666667
2008-01-18,631.9354166666667
2008-01-19,315.34041666666667
2008-01-20,368.2195833333332
2008-01-21,466.8608333333334
2008-01-22,430.76666666666665
2008-01-23,890.2616666666668
2008-01-24,1057.031666666667
2008-01-25,566.1625
2008-01-26,857.7833333333334
2008-01-27,407.5995833333332
2008-01-28,605.2141666666668
2008-01-29,1308.5704166666667
2008-01-30,1331.2966666666664
2008-01-31,817.1720833333334
2008-02-01,373.9845833333333
2008-02-02,558.8079166666668
2008-02-03,1176.2654166666666
2008-02-04,1566.425
2008-02-05,1104.37875
2008-02-06,394.53625000000005
2008-02-07,712.4779166666667
2008-02-08,2026.3791666666668
2008-02-09,2318.95
2008-02-10,3628.2166666666667
2008-02-11,3777.495833333334
2008-02-12,3418.1375000000003
2008-02-13,2337.333333333333
2008-02-14,744.7382608695652
2008-02-15,612.1491666666666
2008-02-16,725.11
2008-02-17,2030.9681818181818
2008-02-18,2694.7124999999996
2008-02-19,970.0633333333332
2008-02-20,1861.029166666667
2008-02-21,2314.1625
2008-02-22,1142.0833333333333
2008-02-23,684.7560416666665
2008-02-24,1772.3625000000002
2008-02-25,1203.5504166666665
2008-02-26,1397.1175
2008-02-27,737.6120833333333
2008-02-28,1227.2937499999998
2008-02-29,1533.2575
2008-03-01,175.09274999999994
2008-03-02,322.36375
2008-03-03,611.3670833333333
2008-03-04,677.1825
2008-03-05,557.1395833333333
2008-03-06,1157.2335217391303
2008-03-07,2358.1625
2008-03-08,1971.2666666666667
2008-03-09,1292.0104166666667
2008-03-10,1442.0200000000002
2008-03-11,393.6045833333333
2008-03-12,324.55499999999995
2008-03-13,526.0966666666667
2008-03-14,708.8579166666668
2008-03-15,1555.3654166666665
2008-03-16,1979.0474999999997
2008-03-17,662.1304166666667
2008-03-18,421.4154166666667
2008-03-19,621.6908333333333
2008-03-20,862.6283333333332
2008-03-21,443.42125000000004
2008-03-22,775.4462500000001
2008-03-23,783.7345833333334
2008-03-24,1331.725
2008-03-25,661.0799999999999
2008-03-26,702.8020833333334
2008-03-27,1666.9670833333332
2008-03-28,1596.9325
2008-03-29,806.8354166666669
2008-03-30,1268.2150000000001
2008-03-31,1331.7104166666668
2008-04-01,1566.915
2008-04-02,526.3433333333334
2008-04-03,393.0891666666667
2008-04-04,997.6804166666667
2008-04-05,1156.7654166666669
2008-04-06,425.98916666666673
2008-04-07,1001.0137500000002
2008-04-08,899.7874999999999
2008-04-09,1409.3983333333335
2008-04-10,904.9225000000001
2008-04-11,1007.7545833333335
2008-04-12,1026.4433333333334
2008-04-13,946.2941666666667
2008-04-14,931.1120833333334
2008-04-15,624.9766666666666
2008-04-16,734.3745833333334
2008-04-17,1138.7775000000001
2008-05-01,1129.6649999999997
2008-05-02,1584.3474999999996
2008-05-03,1397.4270833333333
2008-05-04,1479.899166666667
2008-05-05,1365.9870833333334
2008-05-06,1561.1937500000001
2008-05-07,2111.3958333333326
2008-05-08,2427.9875
2008-05-09,1520.0459090909092
2008-05-10,2353.917647058824
2008-05-11,2633.9590909090907
2008-05-13,1921.1230769230772
2008-05-14,2147.520833333334
2008-05-15,2064.941666666667
2008-05-16,1497.0416666666667
2008-05-17,1107.1833333333332
2008-05-18,988.6729166666669
2008-05-19,1128.81375
2008-05-20,1698.6458333333337
2008-05-21,1682.9916666666668
2008-05-22,1762.6016666666665
2008-05-23,1451.5854166666666
2008-05-24,1847.3999999999999
2008-05-25,1585.9750000000001
2008-05-26,1563.0775
2008-05-27,1502.215
2008-05-28,1581.8458333333328
2008-05-29,2005.820833333334
2008-05-30,3119.2791666666667
2008-05-31,3887.15
2008-06-01,3019.445833333333
2008-06-02,2967.408695652174
2008-06-03,2235.5500000000006
2008-06-04,2444.2250000000004
2008-06-05,1343.6029166666663
2008-06-06,1346.445
2008-06-07,1906.9708333333338
2008-06-08,2079.820833333333
2008-06-09,1830.3541666666663
2008-06-10,2005.5041666666668
2008-06-11,878.9420833333332
2008-06-12,745.5479166666668
2008-06-13,698.6908333333334
2008-06-14,1000.4904166666666
2008-06-15,984.6016666666665
2008-06-16,1033.54625
2008-06-17,1268.2858333333331
2008-06-18,1936.970833333333
2008-06-19,1683.6826086956523
2008-06-20,1080.4429166666666
2008-06-21,1475.5347826086952
2008-06-22,684.44
2008-06-23,872.4518181818183
2008-06-24,988.5773684210527
2008-06-25,1976.2666666666667
2008-06-26,1685.825
2008-06-27,1378.7212499999998
2008-06-28,793.5491666666666
2008-06-29,1111.3895833333336
2008-06-30,1469.9112499999999
2008-07-01,1872.1916666666668
2008-07-02,2648.0958333333333
2008-07-03,2690.8874999999994
2008-07-04,952.2179166666665
2008-07-05,858.7704166666666
2008-07-06,1681.4749999999997
2008-07-07,837.6826086956526
2008-07-09,662.892857142857
2008-07-10,985.3672727272728
2008-07-11,1576.9791666666663
2008-07-12,687.6616666666667
2008-07-13,1096.2354166666667
2008-07-14,911.1550000000003
2008-07-15,1310.1399999999999
2008-07-16,1161.565416666667
2008-07-17,824.92375
2008-07-18,1152.584583333333
2008-07-19,787.5991666666667
