date,concentration
2012-01-26,2708.085714285714
2012-01-27,2489.175
2012-01-28,3484.2291666666674
2012-01-29,2977.5124999999994
2012-01-30,2702.4636363636364
2012-01-31,3264.7916666666674
2012-02-01,4721.054166666667
2012-02-02,5936.349999999999
2012-02-03,4513.2375
2012-02-04,2928.558333333334
2012-02-05,4067.7083333333326
2012-02-06,5475.3125
2012-02-07,4057.183333333333
2012-02-08,6448.831578947368
2012-02-09,3556.3041666666663
2012-02-10,4106.029166666666
2012-02-11,5484.5
2012-02-12,5209.004166666667
2012-02-13,2368.1000000000004
2012-02-14,2229.733333333333
2012-02-15,416.3066666666666
2012-02-16,1412.2145833333334
2012-02-17,735.7816666666668
2012-02-18,1012.6483333333334
2012-02-19,552.2516666666667
2012-02-20,1338.10125
2012-02-21,1667.904166666667
2012-02-22,2019.71375
2012-02-23,1209.6480000000001
2012-02-24,830.3833333333332
2012-02-25,494.83374999999995
2012-02-26,588.7979166666665
2012-02-27,1314.8908333333331
2012-02-28,871.4704166666666
2012-02-29,1548.2700000000002
2012-03-01,2955.7724999999996
2012-03-02,1885.3610526315786
2012-03-03,1378.274583333333
2012-03-04,2375.7625
2012-03-05,2732.304166666667
2012-03-06,2507.2875
2012-03-07,3064.6708333333336
2012-03-08,825.3633333333332
2012-03-09,1671.8383333333334
2012-03-10,1713.766666666667
2012-03-11,560.68625
2012-03-12,491.8270833333333
2012-03-13,466.80041666666654
2012-03-14,614.2025
2012-03-15,1602.5820833333335
2012-03-16,3123.0905000000002
2012-03-17,2649.39
2012-03-18,1178.9995833333337
2012-03-19,1052.3345833333335
2012-03-20,1988.7270833333334
2012-03-21,2776.791666666666
2012-03-22,2460.5575000000003
2012-03-23,2421.763333333334
2012-03-24,2684.7750000000005
2012-03-25,1696.6733333333332
2012-03-26,1746.241666666666
2012-03-27,1891.993333333333
2012-03-28,1982.1666666666667
2012-03-29,771.680833333333
2012-03-30,280.6433333333333
2012-03-31,421.84458333333345
2012-04-01,712.9429166666665
2012-04-02,1160.517619047619
2012-04-03,2234.4600000000005
2012-04-04,1194.26
2012-04-05,982.110476190476
2012-04-06,774.3858333333334
2012-04-07,820.5258333333333
2012-04-08,1742.0737499999998
2012-04-09,1372.447916666667
2012-04-10,1134.9982608695652
2012-04-11,1463.9775
2012-04-12,1055.8775
2012-04-13,1580.9695454545456
2012-04-14,1611.2249999999997
2012-04-15,1549.3208333333334
2012-04-16,904.1129166666666
2012-04-17,1818.7850000000003
2012-04-18,1795.0916666666665
2012-04-19,1794.8049999999996
2012-04-20,1563.5725
2012-04-21,1070.5570833333334
2012-04-22,496.1413333333333
2012-04-23,1042.8041666666668
2012-04-24,1668.0300000000004
2012-04-25,1180.9283333333333
2012-04-26,1347.5233333333335
2012-04-27,2332.375
2012-04-28,2074.970833333333
2012-04-29,2032.1708333333333
2012-04-30,7284.670833333334
2012-05-01,7045.399999999999
2012-05-02,2986.5125000000003
2012-05-03,1483.3374999999996
2012-05-04,1435.1275000000003
2012-05-05,1428.1708333333333
2012-05-06,466.4895833333334
2012-05-07,948.7595833333334
2012-05-08,1215.9325000000001
2012-05-09,1209.9958333333334
2012-05-10,1078.7991666666667
2012-05-11,1643.8708333333334
2012-05-12,700.0283333333333
2012-05-17,1054.6745833333334
2012-05-18,1138.3554166666665
2012-05-19,1416.5070833333332
2012-05-20,1687.0083333333332
2012-05-21,1932.8333333333337
2012-05-22,1782.4104166666666
2012-05-23,1997.10375
2012-05-24,1865.0250000000003
2012-05-25,2050.3791666666666
2012-05-26,2580.3083333333334
2012-05-27,2398.129166666666
2012-05-28,1654.133333333334
2012-05-29,1326.605833333333
2012-05-30,1183.7633333333335
2012-05-31,1418.7287500000002
2012-06-01,744.9545454545455
2012-06-02,1000.5083333333333
2012-06-03,1188.8749999999998
2012-06-04,694.3204166666666
2012-06-05,731.5216666666666
2012-06-06,1087.2890909090909
2012-06-18,2191.9199999999996
2012-06-19,1725.530769230769
2012-06-21,840.9387500000001
2012-06-22,973.0778260869565
2012-06-23,1604.3639130434783
2012-06-24,1246.6887826086956
2012-06-25,571.9060869565218
2012-06-26,853.3165217391305
2012-06-27,1352.8634782608694
2012-06-28,1105.0926086956522
2012-06-29,2091.2665217391304
2012-06-30,2955.0391304347822
2012-07-01,736.7521739130434
2012-07-02,1756.3142857142857
2013-01-08,995.7574999999998
2013-01-09,743.8559090909091
2013-01-10,586.3208695652174
2013-01-11,649.4070833333333
2013-01-12,1130.6695652173914
2013-01-13,1268.4
2013-01-14,1976.9375
2013-01-15,2449.3960869565217
2013-01-16,2347.683333333333
2013-01-17,1550.6714285714288
2013-01-18,1320.7086956521741
2013-01-19,1811.8966666666665
2013-01-20,2186.566666666667
2013-01-21,3884.8739130434774
2013-01-22,4078.1708333333336
2013-01-23,4715.3
2013-01-24,3127.6136363636365
2013-01-25,3391.983333333334
2013-01-26,2824.2624999999994
2013-01-27,1668.2534782608695
2013-01-28,1122.0275
2013-01-29,471.80375000000004
2013-01-30,275.44045454545454
2013-01-31,394.4770833333334
2013-02-01,660.4023809523809
2013-02-02,497.92391304347825
2013-02-03,472.66249999999997
2013-02-04,559.6408333333334
2013-02-05,631.0647826086957
2013-02-06,2069.8909523809525
2013-02-11,1962.882608695652
2013-02-12,2448.004166666667
2013-02-13,1975.1833333333332
2013-02-14,1733.7926086956522
2013-02-15,3751.0425000000005
2013-02-16,3021.4125
2013-02-17,1999.9782608695648
2013-02-18,1644.7458333333334
2013-02-19,964.1462499999999
2013-02-20,496.6173913043478
2013-02-21,995.70375
2013-02-22,2103.6416666666664
